round,stored_t,candidate_index,dreamsim_distance,simulator_probability,image
1,0,6,0.4057923555374145,0.6265285031217362,outputs/cmts_a8_v1_lam100_recover_round1_sim003/sim003/images/t000_b6.png
150,149,0,0.3426838517189026,0.7354049219253247,outputs/cmts_a8_v1_lam100_bbright_d16_B8_T1000_0629_0842/sim003/images/t149_b0.png
450,449,3,0.3165735006332397,0.7740116402697826,outputs/cmts_a8_v1_lam100_bbright_d16_B8_T1000_0629_0842/sim003/images/t449_b3.png
650,649,2,0.3159839510917663,0.7748355547846674,outputs/cmts_a8_v1_lam100_bbright_d16_B8_T1000_0629_0842/sim003/images/t649_b2.png
1150,1149,1,0.2722641825675964,0.8299930438039066,outputs/cmts_a8_v1_lam100_bbright_d16_B8_T1000_0629_0842/sim003/images/t1149_b1.png
1300,1299,7,0.2672863006591797,0.835538650213246,outputs/cmts_a8_v1_lam100_bbright_d16_B8_T1000_0629_0842/sim003/images/t1299_b7.png
